Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,112.769997,112.800003,111.389999,111.440002,95.218681,90637900
2010-01-04,112.370003,113.389999,111.510002,113.330002,96.833588,118944600
2010-01-05,113.260002,113.680000,112.849998,113.629997,97.089912,111579900
2010-01-06,113.519997,113.989998,113.430000,113.709999,97.158264,116074400
2010-01-07,113.500000,114.330002,113.180000,114.190002,97.568398,131091100
2010-01-08,113.889999,114.620003,113.660004,114.570000,97.893082,126402800
2010-01-11,115.080002,115.129997,114.239998,114.730003,98.029793,106375700
2010-01-12,113.970001,114.209999,113.220001,113.660004,97.115540,163333500
2010-01-13,113.949997,114.940002,113.370003,114.620003,97.935783,161822000
2010-01-14,114.489998,115.139999,114.419998,114.930000,98.200684,115718800
2010-01-15,114.730003,114.839996,113.199997,113.639999,97.098465,212283100
2010-01-19,113.620003,115.129997,113.589996,115.059998,98.311745,139172700
2010-01-20,114.279999,114.449997,112.980003,113.889999,97.312050,216490200
2010-01-21,113.919998,114.269997,111.559998,111.699997,95.440842,344859600
2010-01-22,111.199997,111.739998,109.089996,109.209999,93.313301,345942400
2010-01-25,110.209999,110.410004,109.410004,109.769997,93.791763,186937500
2010-01-26,109.339996,110.470001,109.040001,109.309998,93.398712,211168800
2010-01-27,109.169998,110.080002,108.330002,109.830002,93.843040,271863600
2010-01-28,110.190002,110.250000,107.910004,108.570000,92.766464,316104000
2010-01-29,109.040001,109.800003,107.220001,107.389999,91.758217,310677600
2010-02-01,108.150002,109.070000,107.500000,109.059998,93.185127,187865000
2010-02-02,109.260002,110.589996,108.879997,110.379997,94.312981,216327900
2010-02-03,109.879997,110.480003,109.510002,109.830002,93.843040,172730700
2010-02-04,108.980003,109.029999,106.419998,106.440002,90.946495,356715700
2010-02-05,106.559998,106.879997,104.580002,106.660004,91.134460,493585800
2010-02-08,106.739998,107.330002,105.809998,105.889999,90.476578,224166900
2010-02-09,107.129997,108.150002,106.269997,107.220001,91.612938,337820500
2010-02-10,107.050003,107.599998,106.110001,107.010002,91.433533,240511500
2010-02-11,106.870003,108.250000,106.250000,108.129997,92.390480,223591600
2010-02-12,106.989998,108.099998,106.510002,108.040001,92.313576,304622100
2010-02-16,108.860001,109.849998,107.820000,109.739998,93.766136,159317500
2010-02-17,110.269997,110.410004,109.739998,110.260002,94.210419,168845100
2010-02-18,110.080002,111.139999,110.040001,110.910004,94.765846,193708600
2010-02-19,110.620003,111.570000,110.360001,111.139999,94.962341,222684900
2010-02-22,111.550003,111.580002,110.830002,111.160004,94.979446,132346900
2010-02-23,110.860001,111.199997,109.519997,109.809998,93.825935,207497000
2010-02-24,110.139999,111.000000,109.860001,110.820000,94.688957,176350700
2010-02-25,109.239998,110.750000,108.940002,110.669998,94.560776,259634700
2010-02-26,110.769997,111.120003,110.110001,110.739998,94.620583,173589300
2010-03-01,111.199997,112.000000,111.169998,111.889999,95.603172,147709700
2010-03-02,112.370003,112.739998,112.000000,112.199997,95.868065,160992400
2010-03-03,112.489998,112.970001,112.019997,112.300003,95.953484,150785000
2010-03-04,112.449997,112.800003,112.029999,112.639999,96.244026,135770400
2010-03-05,113.370003,114.339996,113.099998,114.250000,97.619644,176118800
2010-03-08,114.260002,114.519997,114.070000,114.269997,97.636719,114631200
2010-03-09,113.930000,114.989998,113.870003,114.459999,97.799095,154556700
2010-03-10,114.510002,115.279999,114.410004,114.970001,98.234856,186088800
2010-03-11,114.699997,115.480003,114.349998,115.449997,98.644989,160791100
2010-03-12,115.949997,115.970001,115.139999,115.459999,98.653557,162074800
2010-03-15,115.260002,115.570000,114.599998,115.489998,98.679146,146816800
2010-03-16,115.809998,116.519997,115.489998,116.410004,99.465248,168673000
2010-03-17,116.760002,117.480003,116.419998,117.099998,100.054825,177468100
2010-03-18,117.110001,117.269997,116.570000,117.040001,100.003555,196509100
2010-03-19,115.970001,117.290001,115.519997,115.970001,99.497330,226641100
2010-03-22,115.309998,116.800003,115.239998,116.589996,100.029266,184477800
2010-03-23,116.760002,117.510002,116.379997,117.410004,100.732826,182941600
2010-03-24,116.970001,117.430000,115.580002,116.839996,100.243759,196072600
2010-03-25,117.629997,118.169998,116.510002,116.650002,100.080750,223396300
2010-03-26,116.870003,117.419998,116.120003,116.580002,100.020706,205808500
2010-03-29,117.169998,117.529999,116.690002,117.320000,100.655602,134513500
2010-03-30,117.459999,117.830002,116.910004,117.400002,100.724228,145772500
